"fn","m","f","t"
"Nita",0.00,1.00,21
"Niya",0.05,0.95,65
"Niyah",0.00,1.00,29
"Nneka",0.13,0.87,15
"Nnenna",0.00,1.00,11
"Noa",0.76,0.24,17
"Noah",0.99,0.01,1694
"Noe",0.80,0.20,82
"Noelani",0.17,0.83,12
"Noelia",0.08,0.92,38
"Noelle",0.25,0.75,155
"Noemi",0.05,0.95,129
"Nohemi",0.13,0.88,24
"Nola",0.20,0.80,15
"Nolan",0.96,0.04,264
"Nona",0.09,0.91,11
"Noor",0.76,0.24,54
"Nora",0.02,0.98,173
"Norah",0.29,0.71,14
"Norbert",0.92,0.08,12
"Norberto",1.00,0.00,18
"Noreen",0.00,1.00,12
"Norma",0.05,0.95,239
"Norman",0.93,0.07,89
"Nour",0.77,0.23,30
"Nova",0.11,0.89,18
"Nubia",0.14,0.86,21
"Nuvia",0.14,0.86,14
"Nya",0.10,0.90,49
"Nyah",0.14,0.86,21
"Nyasia",0.04,0.96,57
"Nydia",0.05,0.95,22
"Nyeisha",0.00,1.00,14
"Nyesha",0.05,0.95,22
"Nyia",0.07,0.93,15
"Nykia",0.00,1.00,12
"Nyla",0.02,0.98,44
"Nyles",1.00,0.00,11
"Nyomi",0.15,0.85,13
"Nyree",0.24,0.76,17
"Obed",1.00,0.00,13
"Obi",0.85,0.15,13
"Oceana",0.00,1.00,15
"Octavia",0.02,0.98,129
"Octavio",0.89,0.11,35
"Octavious",1.00,0.00,12
"Octavius",0.92,0.08,13
"Odell",0.75,0.25,12
"Odessa",0.14,0.86,21
"Odette",0.23,0.77,13
"Ofelia",0.00,1.00,29
"Ola",0.18,0.82,17
"Oleg",1.00,0.00,15
"Olena",0.00,1.00,15
"Olesya",0.00,1.00,11
"Olga",0.06,0.94,147
"Oli",1.00,0.00,11
"Oliva",0.00,1.00,22
"Olive",0.17,0.83,24
"Oliver",0.97,0.03,149
"Olivia",0.01,0.99,1856
"Olivier",0.87,0.13,23
"Ollie",0.73,0.27,26
"Oluwaseun",0.92,0.08,12
"Olympia",0.00,1.00,14
"Olyvia",0.07,0.93,15
"Omar",0.98,0.02,702
"Omari",0.83,0.17,54
"Omayra",0.00,1.00,16
"Omer",0.93,0.07,15
"Omid",1.00,0.00,12
"Onika",0.00,1.00,16
"Ophelia",0.00,1.00,13
"Oralia",0.09,0.91,11
"Oriana",0.00,1.00,39
"Orin",0.73,0.27,11
"Orion",0.92,0.08,37
"Orlando",0.99,0.01,207
"Ornella",0.00,1.00,11
"Osama",0.75,0.25,16
"Osbaldo",1.00,0.00,19
"Oscar",0.98,0.02,641
"Osiris",0.83,0.17,18
"Oskar",1.00,0.00,11
"Osman",1.00,0.00,25
"Osmar",1.00,0.00,11
"Osvaldo",0.97,0.03,68
"Oswaldo",0.88,0.13,24
"Otis",0.97,0.03,35
"Otto",0.95,0.05,19
"Oumou",0.91,0.09,11
"Owen",0.98,0.02,269
"Ozzy",0.91,0.09,23
"Pablo",0.99,0.01,266
"Page",0.23,0.77,30
"Paige",0.09,0.91,935
"Palmer",0.87,0.13,15
"Paloma",0.04,0.96,84
"Pam",0.07,0.93,179
"Pamala",0.00,1.00,11
"Pamela",0.02,0.98,666
"Paola",0.06,0.94,398
"Paolo",0.94,0.06,36
"Paris",0.17,0.83,260
"Parker",0.95,0.05,453
"Parminder",0.73,0.27,15
"Parris",0.14,0.86,21
"Parsa",0.14,0.86,14
"Parth",0.84,0.16,43
"Pascal",0.95,0.05,19
"Passion",0.17,0.83,24
"Pastor",0.87,0.13,15
"Patience",0.18,0.82,55
"Patric",1.00,0.00,16
"Patrice",0.08,0.92,148
"Patricia",0.02,0.98,1250
"Patrick",0.99,0.01,1467
"Patrik",1.00,0.00,12
"Patrina",0.00,1.00,12
"Patsy",0.06,0.94,36
"Patti",0.09,0.91,58
"Pattie",0.00,1.00,12
"Patty",0.06,0.94,143
"Paul",1.00,0.00,1339
"Paula",0.01,0.99,404
"Paulette",0.03,0.97,60
"Paulina",0.02,0.98,179
"Pauline",0.04,0.96,105
"Paulo",0.93,0.07,28
"Pauly",0.91,0.09,11
"Pavel",0.85,0.15,20
"Paxton",0.94,0.06,32
"Peaches",0.07,0.93,14
"Pearl",0.04,0.96,83
"Pedro",0.99,0.01,414
"Peggy",0.06,0.94,140
"Penelope",0.00,1.00,24
"Penny",0.10,0.90,103
"Pepe",0.82,0.18,17
"Percy",0.74,0.26,34
"Perla",0.00,1.00,206
"Perry",0.85,0.15,88
"Pete",0.98,0.02,147
"Peter",0.99,0.01,929
"Peterson",1.00,0.00,16
"Petra",0.10,0.90,30
"Phil",0.98,0.02,199
"Philip",0.98,0.02,334
"Philippe",1.00,0.00,16
"Phill",1.00,0.00,26
"Phillip",0.98,0.02,409
"Phoebe",0.10,0.90,77
"Phuong",0.85,0.15,13
"Phylicia",0.00,1.00,31
"Pia",0.07,0.93,15
"Pierce",0.90,0.10,49
"Pierre",0.84,0.16,97
"Piper",0.27,0.73,49
"Pj",0.97,0.03,69
"Polina",0.00,1.00,12
"Polly",0.22,0.78,23
"Pops",0.85,0.15,13
"Porcha",0.13,0.87,15
"Porscha",0.17,0.83,12
"Porsche",0.24,0.76,21
"Porsha",0.06,0.94,50
"Porter",1.00,0.00,28
"Portia",0.00,1.00,60
"Prabhjot",0.87,0.13,15
"Pratik",0.94,0.06,16
"Precious",0.03,0.97,348
"Preston",0.95,0.05,305
"Pricilla",0.00,1.00,36
"Prince",0.99,0.01,127
"Princess",0.01,0.99,184
"Priscila",0.02,0.98,41
"Priscilla",0.01,0.99,509
"Priya",0.17,0.83,58
"Priyanka",0.22,0.78,45
"Promise",0.12,0.88,25
"Q",0.78,0.22,27
"Qasim",0.92,0.08,12
"Qiana",0.00,1.00,17
"Quan",0.84,0.16,64
"Quanesha",0.00,1.00,18
"Quanisha",0.04,0.96,25
"Quay",0.92,0.08,13
"Queen",0.02,0.98,52
"Quentin",0.81,0.19,140
"Quiana",0.00,1.00,44
"Quianna",0.06,0.94,16
"Quincey",0.79,0.21,14
"Quincy",0.74,0.26,118
"Quinten",0.71,0.29,35
"Quintin",0.86,0.14,57
"Quinton",0.93,0.07,151
"Quran",0.89,0.11,18
"R",0.94,0.06,17
"Rabia",0.09,0.91,23
"Rach",0.29,0.71,17
"Rachael",0.03,0.97,489
"Racheal",0.01,0.99,84
"Rachel",0.02,0.98,2868
"RACHELE",0.00,1.00,15
"Rachell",0.00,1.00,14
"Rachelle",0.01,0.99,189
"Racquel",0.02,0.98,53
"Radhika",0.06,0.94,18
"Raeann",0.07,0.93,14
"Raeanna",0.00,1.00,17
"Raechel",0.00,1.00,22
"Raekwon",0.91,0.09,53
"Raelene",0.17,0.83,18
"Raelynn",0.05,0.95,20
"Raena",0.07,0.93,15
"Raf",0.91,0.09,11
"Rafael",0.95,0.05,364
"Rafi",0.89,0.11,18
"Raghav",0.91,0.09,11
"Raheem",0.89,0.11,63
"Rahim",1.00,0.00,12
"Rahsaan",0.88,0.12,17
"Rahul",1.00,0.00,69
"Raina",0.07,0.93,43
"Raisa",0.00,1.00,19
"Raj",0.92,0.08,51
"Rajan",0.88,0.12,17
"Rakeem",1.00,0.00,22
"Rakia",0.17,0.83,12
"Rakim",1.00,0.00,16
"Ralph",0.99,0.01,163
"Ram",0.95,0.05,22
"Raman",0.83,0.17,12
"Ramandeep",0.90,0.10,31
"Ramel",0.92,0.08,13
"Ramiro",0.93,0.07,73
"Ramon",0.97,0.03,270
"Ramona",0.00,1.00,92
"Ramses",0.92,0.08,12
"Ramsey",0.97,0.03,33
"Rana",0.17,0.83,18
"Rand",0.91,0.09,11
"Randa",0.12,0.88,17
"Randal",0.87,0.13,23
"Randall",0.93,0.07,170
"Randell",0.94,0.06,17
"Randi",0.72,0.28,120
"Randolph",1.00,0.00,20
"Randy",0.99,0.01,476
"Ranesha",0.00,1.00,15
"Rania",0.06,0.94,17
"Ransom",0.82,0.18,11
"Raphael",0.95,0.05,73
"Raquan",0.83,0.17,12
"Raquel",0.10,0.90,358
"Rasha",0.00,1.00,17
"Rashaad",0.89,0.11,27
"Rashaan",0.73,0.27,15
"Rashad",0.87,0.13,124
"Rashard",0.94,0.06,18
"Rashaun",0.81,0.19,32
"Rashawn",0.76,0.24,58
"Rashed",0.92,0.08,12
"Rasheed",0.90,0.10,48
"Rasheeda",0.04,0.96,23
"Rasheem",0.92,0.08,12
"Rashid",0.97,0.03,30
"Rashida",0.04,0.96,26
"Rashon",1.00,0.00,12
"Raul",0.99,0.01,328
"Ravi",0.76,0.24,34
"Ravinder",0.85,0.15,13
"Ravneet",0.93,0.07,14
"Ravyn",0.29,0.71,24
"Rawan",0.92,0.08,13
"Ray",0.96,0.04,412
"Raya",0.23,0.77,13
"Rayana",0.00,1.00,18
"Rayanna",0.00,1.00,15
"Raylene",0.13,0.87,15
"Raymon",1.00,0.00,11
"Raymond",1.00,0.00,607
"Raymundo",1.00,0.00,23
"Rayna",0.08,0.92,61
"Raynard",1.00,0.00,11
"Rayonna",0.08,0.92,13
"Rayshawn",1.00,0.00,30
"Rayshon",1.00,0.00,14
"Rayvon",0.76,0.24,21
"Reanna",0.04,0.96,49
"Reba",0.07,0.93,27
"Rebbecca",0.00,1.00,11
"Rebeca",0.00,1.00,99
"Rebecca",0.01,0.99,1794
"Rebecka",0.05,0.95,20
"Rebeka",0.00,1.00,22
"Rebekah",0.02,0.98,329
"Rebekka",0.00,1.00,11
"Red",0.93,0.07,14
"Reed",0.98,0.02,121
"Reem",0.93,0.07,30
"Reena",0.00,1.00,14
"Reggie",0.86,0.14,112
"Regina",0.01,0.99,332
"Reginald",0.81,0.19,221
"Regine",0.08,0.92,25
"Reid",0.96,0.04,100
"Reina",0.01,0.99,84
"Reinaldo",0.95,0.05,22
"Remington",0.83,0.17,23
"Ren",0.81,0.19,21
"Rena",0.05,0.95,62
"Renae",0.21,0.79,61
"Renaldo",0.92,0.08,12
"Renata",0.23,0.77,31
"Renato",1.00,0.00,25
"Renay",0.27,0.73,11
"Renea",0.07,0.93,14
"Renee",0.28,0.72,573
"Renita",0.00,1.00,24
"Reno",1.00,0.00,15
"Renzo",0.91,0.09,23
"Reshma",0.20,0.80,15
"Reuben",0.93,0.07,58
"Reva",0.19,0.81,16
"Rex",0.94,0.06,49
"Rey",0.87,0.13,52
"Reyes",0.85,0.15,20
"Reymundo",1.00,0.00,13
"Reyna",0.03,0.97,135
"Reynaldo",0.98,0.02,44
"Reza",0.06,0.94,18
"Rhea",0.02,0.98,41
"Rheanna",0.08,0.92,13
"Rhett",0.94,0.06,31
"Rhianna",0.00,1.00,39
"Rhiannon",0.28,0.72,69
"Rhoda",0.10,0.90,21
"Rhonda",0.03,0.97,258
"Rhyan",0.84,0.16,19
"Ria",0.00,1.00,34
"Rian",0.77,0.23,26
"Riana",0.06,0.94,18
"Rianna",0.00,1.00,30
"Ricardo",0.99,0.01,610
"Rich",0.92,0.08,90
"Richard",0.99,0.01,1723
"Richardson",1.00,0.00,16
"Richelle",0.00,1.00,33
"Richie",0.88,0.12,103
"Richy",0.92,0.08,12
"Rick",1.00,0.00,288
"Rickey",0.98,0.02,53
"Ricki",0.97,0.03,33
"Rickia",0.06,0.94,17
"Rickie",0.91,0.09,23
"Ricky",0.99,0.01,512
"Rico",0.97,0.03,88
"Rida",0.00,1.00,13
"Ridge",0.80,0.20,15
"Rigo",0.97,0.03,30
"Rigoberto",1.00,0.00,27
"Riki",0.82,0.18,11
"Rima",0.18,0.82,11
"Rina",0.00,1.00,26
"Rio",0.81,0.19,31
"Risa",0.00,1.00,15
"Rishabh",0.85,0.15,13
"Rissa",0.00,1.00,13
"Rita",0.03,0.97,225
"Riya",0.03,0.97,34
"RJ",1.00,0.00,112
"Rob",0.98,0.02,382
"Robbie",0.94,0.06,175
"Robby",0.90,0.10,86
"Robel",0.93,0.07,14
"Robert",0.99,0.01,3409
"Roberta",0.09,0.91,116
"Roberto",0.99,0.01,371
"Robinson",0.91,0.09,22
"Rocco",1.00,0.00,28
"Rochelle",0.01,0.99,173
"Rocio",0.87,0.13,129
"Rock",1.00,0.00,11
"Rocky",1.00,0.00,61
"Rod",1.00,0.00,64
"Roderick",0.98,0.02,88
"Rodger",1.00,0.00,20
"Rodney",0.98,0.02,301
"Rodolfo",0.98,0.02,86
"Rodrick",0.97,0.03,32
"Rodrigo",0.97,0.03,128
"Rodriguez",0.88,0.12,17
"Roel",1.00,0.00,14
"Rogelio",0.95,0.05,65
"Roger",0.99,0.01,292
"Rohan",0.92,0.08,72
"Rohit",0.89,0.11,28
"Roland",0.98,0.02,92
"Rolanda",0.05,0.95,20
"Rolando",0.97,0.03,100
"Roma",0.06,0.94,17
"Romaine",0.09,0.91,11
"Roman",0.97,0.03,180
"Romario",0.93,0.07,28
"Rome",0.89,0.11,18
"Romel",0.93,0.07,14
"Romell",1.00,0.00,13
"Romello",0.91,0.09,23
"Romeo",0.98,0.02,59
"Romero",0.91,0.09,11
"Romina",0.00,1.00,28
"Ron",0.98,0.02,262
"Rona",0.00,1.00,15
"Ronald",0.99,0.01,548
"Ronaldo",1.00,0.00,42
"Ronan",1.00,0.00,15
"Ronda",0.04,0.96,56
"Rondell",0.92,0.08,13
"Ronesha",0.00,1.00,14
"Ronisha",0.00,1.00,17
"Ronnell",0.89,0.11,18
"Ronni",0.90,0.10,20
"Ronnie",0.91,0.09,252
"Ronny",1.00,0.00,51
"Rony",0.93,0.07,15
"Roosevelt",0.81,0.19,21
"Rory",0.82,0.18,71
"Rosa",0.01,0.99,526
"Rosalba",0.06,0.94,18
"Rosalia",0.00,1.00,26
"Rosalie",0.00,1.00,43
"Rosalina",0.00,1.00,17
"Rosalind",0.06,0.94,31
"Rosalinda",0.00,1.00,50
"Rosalva",0.13,0.88,16
"Rosalyn",0.03,0.98,40
"Rosana",0.00,1.00,14
"Rosanna",0.02,0.98,46
"Rosaura",0.00,1.00,12
"Rose",0.03,0.97,439
"Roseann",0.00,1.00,16
"Roseanna",0.00,1.00,16
"Roseline",0.00,1.00,14
"Roselyn",0.00,1.00,13
"Rosemarie",0.02,0.98,58
"Rosemary",0.03,0.97,158
"Rosetta",0.00,1.00,17
"Rosie",0.01,0.99,163
"Rosita",0.00,1.00,22
"Roslyn",0.00,1.00,25
"Ross",0.93,0.07,211
"Rosy",0.00,1.00,32
"Rowan",0.85,0.15,47
"Rowena",0.00,1.00,13
"Roxana",0.00,1.00,84
"Roxann",0.00,1.00,17
"Roxanna",0.00,1.00,52
"Roxanne",0.01,0.99,157
"Roxie",0.00,1.00,14
"Roxy",0.15,0.85,33
"Roy",1.00,0.00,207
"Roya",0.27,0.73,11
"Royce",0.82,0.18,33
"Ruben",0.99,0.01,377
"Rubi",0.10,0.90,40
"Rubie",0.00,1.00,13
"Rubin",0.82,0.18,17
"Ruby",0.04,0.96,312
"Rudolph",1.00,0.00,17
"Rudy",0.77,0.23,150
"Rufus",1.00,0.00,14
"Rupinder",1.00,0.00,14
"Ruslan",0.88,0.13,16
"Russ",0.91,0.09,46
"Russel",1.00,0.00,26
"Russell",0.91,0.09,232
"Rusty",0.97,0.03,36
"Ruth",0.04,0.96,422
"Ruthie",0.09,0.91,34
"Ryan",0.99,0.01,4123
"Ryann",0.92,0.08,37
"Ryanne",0.17,0.83,24
"Ryder",1.00,0.00,21
"Ryen",0.92,0.08,13
"Ryker",0.83,0.17,12
"Ryleigh",0.29,0.71,28
"Rylie",0.25,0.75,71
"S",0.92,0.08,12
"Saad",0.86,0.14,36
"Saba",0.28,0.72,36
"Sabastian",1.00,0.00,11
"Sabina",0.02,0.98,51
"Sabine",0.05,0.95,19
"Sabra",0.00,1.00,19
"Sabria",0.00,1.00,13
"Sabrina",0.01,0.99,1200
"Sacha",0.00,1.00,17
"Sadia",0.05,0.95,39
"Sadie",0.16,0.84,233
"Saeed",0.89,0.11,18
"Safa",0.15,0.85,13
"Safia",0.00,1.00,13
"Safiya",0.00,1.00,14
"Sagar",0.72,0.28,25
"Sahara",0.03,0.97,34
"Sahil",0.85,0.15,39
"Saida",0.11,0.89,18
"Saif",0.91,0.09,32
"Saima",0.08,0.92,12
"Saira",0.00,1.00,30
"Saja",0.00,1.00,12
"Sal",0.86,0.14,73
"Saleh",0.22,0.78,18
"Salena",0.00,1.00,44
"Salim",0.74,0.26,19
"Salina",0.02,0.98,52
"Sally",0.01,0.99,161
"Salma",0.11,0.89,94
"Salman",0.92,0.08,24
"Salomon",0.92,0.08,12
"Salvador",0.95,0.05,157
"Salvatore",0.83,0.17,48
"Sam",0.91,0.09,2392
"Samanta",0.00,1.00,19
"Samantha",0.02,0.98,3337
"Samar",0.89,0.11,18
"Samara",0.03,0.97,66
"Samaria",0.03,0.97,39
"Samatha",0.00,1.00,28
"Sameer",0.85,0.15,13
"Sameera",0.00,1.00,15
"Samer",0.75,0.25,16
"Sami",0.26,0.74,158
"Samia",0.03,0.97,38
"Samina",0.00,1.00,11
"Samir",0.88,0.12,49
"Samira",0.01,0.99,95
"Samiya",0.00,1.00,14
"Samiyah",0.08,0.92,13
"Sammantha",0.04,0.96,24
"Sammi",0.20,0.80,65
"Samone",0.22,0.78,32
"Sampson",1.00,0.00,17
"Samson",0.88,0.13,40
"Samual",0.91,0.09,11
"Samuel",0.98,0.02,1120
"Sana",0.16,0.84,62
"Sandi",0.16,0.84,51
"Sandie",0.09,0.91,11
"Sandra",0.02,0.98,1020
"Sandrine",0.00,1.00,11
"Sandro",1.00,0.00,19
"Sandy",0.10,0.90,321
"Sanford",0.92,0.08,12
"Sania",0.00,1.00,16
"Saniya",0.00,1.00,13
"Sanjay",0.82,0.18,22
"Santana",0.24,0.76,66
"Santiago",0.94,0.06,153
"Santina",0.00,1.00,13
"Santino",0.95,0.05,19
"Santos",0.92,0.08,49
"Sapphire",0.09,0.91,34
"Sara",0.01,0.99,1588
"Sarah",0.01,0.99,4220
"Sarahi",0.07,0.93,45
"Sarai",0.02,0.98,92
"Saran",0.09,0.91,11
"Saray",0.00,1.00,16
"Sarena",0.00,1.00,24
"Sari",0.07,0.93,15
"Sariah",0.03,0.97,34
"Sarina",0.00,1.00,68
"Sarita",0.00,1.00,31
"Saron",0.17,0.83,12
"Sarrah",0.07,0.93,15
"Sascha",0.00,1.00,12
"Sasha",0.01,0.99,344
"Saul",0.93,0.07,164
"Saundra",0.04,0.96,27
"Savana",0.10,0.90,39
"Savanah",0.04,0.96,105
"Savanna",0.02,0.98,264
"Savannah",0.02,0.98,1129
"Savina",0.00,1.00,13
"Savion",0.89,0.11,28
"Sawyer",0.92,0.08,65
"Sayra",0.16,0.84,19
"Scarlet",0.06,0.94,34
"Scarlett",0.00,1.00,57
"Schneider",0.87,0.13,15
"Schuyler",0.79,0.21,19
"Scot",1.00,0.00,22
"Scott",0.98,0.02,958
"Scottie",0.91,0.09,43
"Scotty",0.95,0.05,77
"Scout",0.88,0.13,16
"Seamus",0.97,0.03,34
"Sean",0.97,0.03,1791
"Seana",0.00,1.00,15
"Seanna",0.00,1.00,21
"Sebastian",0.96,0.04,477
"Sebastien",0.88,0.13,32
"sebastion",1.00,0.00,13
"Sedona",0.00,1.00,17
"Sedrick",1.00,0.00,16
"Seirra",0.07,0.93,14
"Selah",0.09,0.91,11
"Selena",0.01,0.99,505
"Selene",0.02,0.98,61
"Selenia",0.00,1.00,12
"Selina",0.00,1.00,117
"Selma",0.05,0.95,19
"Semaj",0.77,0.23,47
"Seneca",0.00,1.00,13
"September",0.18,0.82,11
"Sequoia",0.06,0.94,31
"Sequoya",0.00,1.00,11
"Sera",0.05,0.95,19
"Serena",0.00,1.00,371
"Serene",0.00,1.00,21
"Serenity",0.00,1.00,94
"Serg",1.00,0.00,11
"Serge",1.00,0.00,21
"Sergey",0.82,0.18,17
"Sergio",0.96,0.04,449
"Serina",0.03,0.97,60
"Seth",0.88,0.12,716
"Sgt",0.90,0.10,20
"Sha",0.08,0.92,12
"Shad",0.85,0.15,20
"Shada",0.17,0.83,12
"Shadae",0.14,0.86,29
"Shaday",0.27,0.73,11
"Shade",0.75,0.25,12
"Shadi",0.18,0.82,17
"Shadow",0.79,0.21,14
"Shae",0.14,0.86,63
"Shaelyn",0.00,1.00,25
"Shaelynn",0.00,1.00,13
"Shai",0.22,0.78,27
"Shaila",0.00,1.00,12
"Shaina",0.03,0.97,97
"Shakayla",0.00,1.00,27
"Shakeem",0.81,0.19,16
"Shakeema",0.07,0.93,15
"Shakeia",0.00,1.00,12
"Shakera",0.00,1.00,20
"Shakeria",0.00,1.00,22
"Shakia",0.00,1.00,29
"Shakiera",0.00,1.00,11
"Shakira",0.00,1.00,141
"Shakirah",0.00,1.00,17
"Shakiya",0.09,0.91,11
"Shakur",0.95,0.05,20
"Shakyra",0.08,0.92,26
"Shala",0.12,0.88,17
"Shalena",0.09,0.91,11
"Shalia",0.00,1.00,11
"Shalini",0.09,0.91,11
"Shalom",0.75,0.25,16
"Shalonda",0.03,0.97,35
"Shalyn",0.00,1.00,14
"Shamar",0.71,0.29,73
"Shamara",0.00,1.00,35
"Shamaria",0.09,0.91,11
"Shameka",0.01,0.99,73
"Shamia",0.04,0.96,24
"Shamika",0.04,0.96,56
"Shamira",0.04,0.96,28
"Shamiya",0.00,1.00,16
"Shamus",0.82,0.18,11
"Shamya",0.00,1.00,12
"Shana",0.04,0.96,134
"Shanae",0.04,0.96,51
"Shanay",0.16,0.84,19
"Shanaya",0.00,1.00,14
"Shanda",0.00,1.00,33
"Shandi",0.18,0.82,11
"Shandon",0.73,0.27,11
"Shandra",0.00,1.00,12
"Shandrea",0.00,1.00,11
"Shanee",0.25,0.75,12
"Shaneka",0.00,1.00,25
"Shanel",0.00,1.00,30
"Shanell",0.04,0.96,46
"Shanelle",0.00,1.00,54
"Shanequa",0.05,0.95,40
"Shanetta",0.00,1.00,12
"Shani",0.06,0.94,35
"Shania",0.01,0.99,289
"Shaniah",0.00,1.00,30
"Shanice",0.03,0.97,205
"Shaniece",0.11,0.89,36
"Shanika",0.03,0.97,68
"Shaniqua",0.02,0.98,65
"Shanique",0.08,0.92,38
"Shanise",0.04,0.96,27
"Shanita",0.04,0.96,28
"Shaniya",0.02,0.98,56
"Shaniyah",0.00,1.00,21
"Shanna",0.02,0.98,128
"Shannan",0.08,0.92,24
"Shannel",0.06,0.94,18
"Shannen",0.07,0.93,28
"Shannon",0.10,0.90,1303
"Shanon",0.14,0.86,36
"Shanta",0.00,1.00,37
"Shantae",0.04,0.96,25
"Shantal",0.11,0.89,18
"Shantasia",0.08,0.92,12
"Shantavia",0.07,0.93,15
"Shantay",0.08,0.92,12
"Shante",0.22,0.78,59
"Shantel",0.04,0.96,129
"Shantell",0.04,0.96,54
"Shantelle",0.03,0.97,29
"Shanteria",0.00,1.00,18
"Shanti",0.09,0.91,22
"Shanya",0.03,0.97,35
"Shaq",0.86,0.14,21
"Shaquan",0.74,0.26,39
"Shaquana",0.03,0.97,31
"Shaquanda",0.07,0.93,14
"Shaquanna",0.00,1.00,11
"Shaquasia",0.00,1.00,11
"Shaquita",0.04,0.96,27
"Shar",0.00,1.00,13
"Shara",0.00,1.00,30
"Sharae",0.08,0.92,13
"Shardae",0.19,0.81,27
"Shardé",0.25,0.75,16
"Sharee",0.00,1.00,23
"Shareka",0.00,1.00,12
"Sharell",0.15,0.85,13
"Shari",0.06,0.94,84
"Sharia",0.00,1.00,14
"Sharice",0.06,0.94,17
"Sharif",0.74,0.26,23
"Sharina",0.00,1.00,11
"Sharita",0.00,1.00,20
"Sharla",0.00,1.00,19
"Sharlene",0.00,1.00,31
"Sharmaine",0.05,0.95,21
"Sharmin",0.25,0.75,12
"Sharnae",0.08,0.92,13
"Sharon",0.03,0.97,722
"Sharonda",0.00,1.00,52
"Sharron",0.04,0.96,25
"Shasta",0.05,0.95,21
"Shatara",0.10,0.90,20
"Shatavia",0.00,1.00,14
"Shatoria",0.00,1.00,12
"Shatoya",0.00,1.00,14
"Shaun",0.92,0.08,248
"Shauna",0.01,0.99,153
"Shaunice",0.07,0.93,14
"Shaunna",0.00,1.00,12
"Shaunte",0.21,0.79,14
"Shavonda",0.09,0.91,11
"Shavonna",0.08,0.92,13
"Shavonne",0.07,0.93,30
"Shawanda",0.00,1.00,18
"Shawanna",0.07,0.93,14
"Shawn",0.92,0.08,986
"Shawna",0.03,0.97,182
"Shawnice",0.08,0.92,13
"Shawnna",0.00,1.00,18
"Shawnta",0.00,1.00,13
"Shawntel",0.25,0.75,12
"Shay",0.12,0.88,178
"Shayan",0.12,0.88,26
"Shaye",0.12,0.88,33
"Shayla",0.01,0.99,266
"Shaylee",0.03,0.97,32
"Shaylin",0.00,1.00,11
"Shaylyn",0.00,1.00,16
"Shayna",0.00,1.00,157
"Shea",0.06,0.94,99
"Sheba",0.00,1.00,14
"Shedrick",0.82,0.18,11
"Sheena",0.02,0.98,145
"Sheila",0.01,0.99,383
"Shekinah",0.10,0.90,20
"Shelbey",0.09,0.91,11
"Shelbi",0.05,0.95,44
"Shelbie",0.03,0.97,36
"Shelby",0.04,0.96,1108
"Sheldon",0.82,0.18,111
"Shelia",0.02,0.98,58
"Shelley",0.01,0.99,101
"Shelli",0.00,1.00,16
"Shellie",0.06,0.94,16
"Shelly",0.01,0.99,208
"Shelsea",0.00,1.00,11
"Shelton",0.78,0.22,23
"Shemar",0.71,0.29,38
"Shemeka",0.00,1.00,11
"Shemika",0.00,1.00,13
"Shena",0.00,1.00,16
"Shenika",0.00,1.00,20
"Sheniqua",0.00,1.00,14
"Sher",0.17,0.83,12
"Shera",0.07,0.93,14
"Sheree",0.00,1.00,43
"Shereen",0.16,0.84,25
"Sheri",0.03,0.97,96
"Sherice",0.00,1.00,11
"Sherie",0.00,1.00,15
"Sherika",0.05,0.95,22
"Sherilyn",0.00,1.00,12
"Sherise",0.00,1.00,11
"Sherita",0.00,1.00,28
"Sherley",0.00,1.00,12
"Sherline",0.00,1.00,11
"Sherly",0.00,1.00,17
"Sherlyn",0.00,1.00,12
"Sherman",0.89,0.11,36
"Sherrell",0.00,1.00,20
"Sherri",0.02,0.98,122
"Sherrie",0.00,1.00,58
"Sherry",0.02,0.98,302
"Sherwin",1.00,0.00,16
"Sheryl",0.01,0.99,82
"Sheyanne",0.00,1.00,14
"Sheyenne",0.00,1.00,21
"Sheyla",0.03,0.97,36
"Shiann",0.05,0.95,37
"Shianna",0.00,1.00,11
"Shianne",0.00,1.00,51
"Shikha",0.08,0.92,12
"Shilo",0.75,0.25,12
"Shiloh",0.78,0.22,27
"Shira",0.00,1.00,17
"Shireen",0.09,0.91,11
"Shirley",0.02,0.98,249
"Shivani",0.28,0.73,40
"Shomari",0.29,0.71,14
"Shon",0.90,0.10,21
"Shona",0.00,1.00,21
"Shonda",0.05,0.95,22
"Shonna",0.00,1.00,16
"Shonta",0.27,0.73,11
"Shontae",0.13,0.88,16
"Shontell",0.00,1.00,12
"Shoshana",0.08,0.92,12
"Shreya",0.06,0.94,32
"Shubham",0.85,0.15,13
"Shukri",0.82,0.18,11
"Shweta",0.00,1.00,11
"Shy",0.09,0.91,22
"Shyan",0.15,0.85,13
"Shyann",0.10,0.90,50
"Shyanna",0.00,1.00,11
"Shyanne",0.00,1.00,88
"Shyheim",0.12,0.88,17
"Shyla",0.02,0.98,56
"Shylah",0.00,1.00,11
"Shyra",0.00,1.00,11
"Siani",0.13,0.87,23
"Sianna",0.00,1.00,12
"Siara",0.00,1.00,25
"Sid",0.78,0.22,41
"Sidney",0.11,0.89,228
"Sidra",0.27,0.73,11
"Siena",0.08,0.92,26
"Sienna",0.01,0.99,80
"Siera",0.14,0.86,29
"Sierra",0.05,0.95,1149
"Sierrah",0.00,1.00,13
"Silvana",0.00,1.00,15
"Silvia",0.02,0.98,115
"Simeon",0.97,0.03,36
